Adapter Culture,Test Culture,F1 Score
arabic,arabic,0.40534455374507944
arabic,bengali,0.42517597544572233
arabic,chinese,0.19704362801377728
arabic,english,0.3343106176085154
arabic,german,0.5195363476904584
arabic,greek,0.4805128649038496
arabic,korean,0.5779434534617663
arabic,portuguese,0.30668626706001634
arabic,spanish,0.30913763205800254
arabic,turkish,0.5191669579791358
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",arabic,0.27125003079839344
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",bengali,0.48954039214816086
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",chinese,0.20797595038626293
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",english,0.39694061756895066
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",german,0.525545334574382
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",greek,0.4556179235364223
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",korean,0.6062834825636473
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",portuguese,0.39368837116181776
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",spanish,0.3598295648751419
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",turkish,0.5030087003530196
bengali,arabic,0.18550707649633122
bengali,bengali,0.42141718348612467
bengali,chinese,0.2036699425532925
bengali,english,0.3557024936120807
bengali,german,0.32474896960346444
bengali,greek,0.35991207347028176
bengali,korean,0.4319460259112839
bengali,portuguese,0.3561531362116409
bengali,spanish,0.3087173569472212
bengali,turkish,0.2369283332042858
chinese,arabic,0.3590139455792251
chinese,bengali,0.41428251156439394
chinese,chinese,0.20534899355668257
chinese,english,0.3186410911925455
chinese,german,0.36468984683392536
chinese,greek,0.2326226080232106
chinese,korean,0.3714413793169129
chinese,portuguese,0.22417191486031487
chinese,spanish,0.2593159974151695
chinese,turkish,0.41967009390251864
english,arabic,0.3759258346372329
english,bengali,0.42483235290605786
english,chinese,0.20534899355668257
english,english,0.3271696835591795
english,german,0.3792876854463351
english,greek,0.2783879872426613
english,korean,0.3775034024461316
english,portuguese,0.3680744126845858
english,spanish,0.3173395092381819
english,turkish,0.42848161956327724
german,arabic,0.3057046255636162
german,bengali,0.3414505908288448
german,chinese,0.22196990019250917
german,english,0.38385872791557524
german,german,0.5010407092440998
german,greek,0.3611182802115774
german,korean,0.5660763300261601
german,portuguese,0.2900890933545449
german,spanish,0.2769011300147241
german,turkish,0.4016023003605303
greek,arabic,0.4377253321665881
greek,bengali,0.44748241125102234
greek,chinese,0.22319072652929683
greek,english,0.39690024819154507
greek,german,0.5389337828838034
greek,greek,0.4368229363678393
greek,korean,0.5501447680540564
greek,portuguese,0.3953668796502371
greek,spanish,0.33271316561954456
greek,turkish,0.5482702699537841
korean,arabic,0.36693795486700237
korean,bengali,0.29240342433640865
korean,chinese,0.22856016250427552
korean,english,0.23526729038155603
korean,german,0.5046171606742178
korean,greek,0.32630743654542277
korean,korean,0.4315793485311024
korean,portuguese,0.19982105063786365
korean,spanish,0.28328625208284736
korean,turkish,0.4866175122794508
portuguese,arabic,0.5091733765777725
portuguese,bengali,0.4272302779457639
portuguese,chinese,0.22108059861001106
portuguese,english,0.3999734653289335
portuguese,german,0.4650181690021814
portuguese,greek,0.3981931391826546
portuguese,korean,0.4673737565550018
portuguese,portuguese,0.4079147899221708
portuguese,spanish,0.37246359741866114
portuguese,turkish,0.5790246154205716
spanish,arabic,0.4395965283493041
spanish,bengali,0.43319056275151385
spanish,chinese,0.2740520146850911
spanish,english,0.3537080192068298
spanish,german,0.5171594840545948
spanish,greek,0.31514232865165726
spanish,korean,0.4394270690220203
spanish,portuguese,0.31289779929450123
spanish,spanish,0.3876884406962868
spanish,turkish,0.49710911795794704
turkish,arabic,0.27937891018185673
turkish,bengali,0.4428040643938323
turkish,chinese,0.20018233174608585
turkish,english,0.3877474420058113
turkish,german,0.5367534427345613
turkish,greek,0.3971406038902341
turkish,korean,0.5844615179730711
turkish,portuguese,0.41099799225908057
turkish,spanish,0.34003716564046116
turkish,turkish,0.5699984465602504
